[2023-07-28T10:46:38.435089+02:00] admin_statistics.INFO: Symfony\Bundle\FrameworkBundle\Controller\RedirectController::urlRedirectAction [2,"pimcore_admin_index",{"path":"/admin/","permanent":true,"scheme":null,"httpPort":80,"httpsPort":443},[]] []
[2023-07-28T10:46:38.472612+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\IndexController::indexAction [2,"pimcore_admin_index",[],[]] []
[2023-07-28T10:46:38.744624+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getImageAction [2,"pimcore_admin_user_getimage",[],[]] []
[2023-07-28T10:46:38.889047+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::adminCssAction [2,"pimcore_admin_misc_admincss",[],[]] []
[2023-07-28T10:46:38.924295+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:46:38.996442+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getCurrentUserAction [2,"pimcore_admin_user_getcurrentuser",[],[]] []
[2023-07-28T10:46:39.015397+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::availableLanguagesAction [2,"pimcore_admin_misc_availablelanguages",[],[]] []
[2023-07-28T10:46:39.061341+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::scriptProxyAction [2,"pimcore_admin_misc_scriptproxy",[],{"storageFile":"minified_javascript_core_d41d8cd98f00b20..."}] []
[2023-07-28T10:46:40.190245+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::displayCustomLogoAction [2,"pimcore_settings_display_custom_logo",[],[]] []
[2023-07-28T10:46:40.247572+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::treeGetRootAction [2,"pimcore_admin_document_document_treegetroot",[],{"id":"1","view":"","elementType":"document"}] []
[2023-07-28T10:46:40.279582+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\DataObject\DataObjectController::treeGetRootAction [2,"pimcore_admin_dataobject_dataobject_treegetroot",[],{"id":"","view":"","elementType":"object"}] []
[2023-07-28T10:46:40.326062+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Asset\AssetController::treeGetRootAction [2,"pimcore_admin_asset_treegetroot",[],{"id":"1","view":"","elementType":"asset"}] []
[2023-07-28T10:46:40.368697+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\PortalController::dashboardListAction [2,"pimcore_admin_portal_dashboardlist",[],[]] []
[2023-07-28T10:46:40.407121+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690533999"}] []
